CustomerKey;First Name;Last Name;Full Name;DateFirstPurchase;YearlyIncome;CommuteDistance;Customer City
11028;Jill;Jimenez;Jill Jimenez;2020-01-26 00:00:00.000;30000;1-2 Miles;St. Leonards
11029;Jimmy;Moreno;Jimmy Moreno;2020-01-19 00:00:00.000;30000;1-2 Miles;Bendigo
11030;Bethany;Yuan;Bethany Yuan;2020-02-05 00:00:00.000;10000;1-2 Miles;Cloverdale
11031;Theresa;Ramos;Theresa Ramos;2020-02-01 00:00:00.000;20000;1-2 Miles;Matraville
11032;Denise;Stone;Denise Stone;2020-02-18 00:00:00.000;20000;1-2 Miles;Melbourne
11033;Jaime;Nath;Jaime Nath;2020-02-15 00:00:00.000;20000;5-10 Miles;Milsons Point
11034;Ebony;Gonzalez;Ebony Gonzalez;2020-02-01 00:00:00.000;20000;5-10 Miles;North Sydney
11035;Wendy;Dominguez;Wendy Dominguez;2020-02-06 00:00:00.000;10000;1-2 Miles;Cranbourne
11036;Jennifer;Russell;Jennifer Russell;2022-01-22 00:00:00.000;60000;1-2 Miles;National City
11037;Chloe;Garcia;Chloe Garcia;2022-01-20 00:00:00.000;40000;5-10 Miles;Cliffside
11038;Diana;Hernandez;Diana Hernandez;2020-02-07 00:00:00.000;10000;5-10 Miles;Lavender Bay
11039;Marc;Martin;Marc Martin;2020-02-07 00:00:00.000;30000;5-10 Miles;Wollongong
11040;Jesse;Murphy;Jesse Murphy;2022-04-03 00:00:00.000;30000;1-2 Miles;Tacoma
11041;Amanda;Carter;Amanda Carter;2022-01-14 00:00:00.000;60000;1-2 Miles;Glendale
11042;Megan;Sanchez;Megan Sanchez;2022-01-21 00:00:00.000;70000;0-1 Miles;Los Angeles
11043;Nathan;Simmons;Nathan Simmons;2022-05-08 00:00:00.000;60000;5-10 Miles;Glendale
11044;Adam;Flores;Adam Flores;2020-02-28 00:00:00.000;20000;1-2 Miles;Hervey Bay
11045;Leonard;Nara;Leonard Nara;2022-04-10 00:00:00.000;30000;1-2 Miles;Matraville
11046;Christine;Yuan;Christine Yuan;2020-02-06 00:00:00.000;30000;5-10 Miles;Lavender Bay
11047;Jaclyn;Lu;Jaclyn Lu;2020-02-03 00:00:00.000;30000;1-2 Miles;Geelong
11048;Jeremy;Powell;Jeremy Powell;2020-02-10 00:00:00.000;30000;5-10 Miles;Sunbury
11049;Carol;Rai;Carol Rai;2022-03-09 00:00:00.000;40000;5-10 Miles;Chula Vista
11050;Alan;Zheng;Alan Zheng;2020-02-20 00:00:00.000;30000;5-10 Miles;Hobart
11051;Daniel;Johnson;Daniel Johnson;2022-12-29 00:00:00.000;30000;1-2 Miles;Caloundra
11052;Heidi;Lopez;Heidi Lopez;2020-02-17 00:00:00.000;40000;5-10 Miles;Matraville
11053;Ana;Price;Ana Price;2022-01-17 00:00:00.000;60000;1-2 Miles;San Diego
11054;Deanna;Munoz;Deanna Munoz;2020-02-03 00:00:00.000;40000;5-10 Miles;Geelong
11055;Gilbert;Raje;Gilbert Raje;2020-01-31 00:00:00.000;40000;5-10 Miles;East Brisbane
11056;Michele;Nath;Michele Nath;2020-02-26 00:00:00.000;40000;5-10 Miles;Newcastle
11057;Carl;Andersen;Carl Andersen;2020-02-22 00:00:00.000;70000;1-2 Miles;Lane Cove
11058;Marc;Diaz;Marc Diaz;2020-03-09 00:00:00.000;80000;1-2 Miles;Findon
11059;Ashlee;Andersen;Ashlee Andersen;2022-02-18 00:00:00.000;80000;5-10 Miles;Townsville
11060;Jon;Zhou;Jon Zhou;2020-03-19 00:00:00.000;80000;5-10 Miles;Warrnambool
11061;Todd;Gao;Todd Gao;2020-03-13 00:00:00.000;80000;5-10 Miles;Gold Coast
11062;Noah;Powell;Noah Powell;2022-01-07 00:00:00.000;40000;5-10 Miles;Portland
11063;Angela;Murphy;Angela Murphy;2022-01-12 00:00:00.000;40000;5-10 Miles;Redmond
11064;Chase;Reed;Chase Reed;2022-01-25 00:00:00.000;40000;5-10 Miles;Downey
11065;Jessica;Henderson;Jessica Henderson;2022-02-10 00:00:00.000;60000;1-2 Miles;La Jolla
11066;Grace;Butler;Grace Butler;2022-05-31 00:00:00.000;70000;5-10 Miles;Lebanon
11067;Caleb;Carter;Caleb Carter;2022-08-18 00:00:00.000;60000;5-10 Miles;Port Orchard
11068;Tiffany;Liang;Tiffany Liang;2022-04-30 00:00:00.000;80000;5-10 Miles;Warrnambool
11069;Carolyn;Navarro;Carolyn Navarro;2020-04-17 00:00:00.000;80000;1-2 Miles;Gold Coast
11070;Willie;Raji;Willie Raji;2020-04-28 00:00:00.000;80000;5-10 Miles;Sunbury
11071;Linda;Serrano;Linda Serrano;2022-03-01 00:00:00.000;80000;5-10 Miles;Hawthorne
11072;Casey;Luo;Casey Luo;2020-03-31 00:00:00.000;80000;1-2 Miles;St. Leonards
11073;Amy;Ye;Amy Ye;2022-03-23 00:00:00.000;70000;5-10 Miles;Springwood
11074;Levi;Arun;Levi Arun;2022-03-23 00:00:00.000;70000;5-10 Miles;Cloverdale
11075;Felicia;Jimenez;Felicia Jimenez;2020-04-28 00:00:00.000;80000;5-10 Miles;Bendigo
11076;Blake;Anderson;Blake Anderson;2020-04-21 00:00:00.000;80000;5-10 Miles;Wollongong
11077;Leah;Ye;Leah Ye;2020-04-15 00:00:00.000;80000;1-2 Miles;Melton
11078;Gina;Martin;Gina Martin;2022-02-15 00:00:00.000;40000;1-2 Miles;Cliffside
11079;Donald;Gonzalez;Donald Gonzalez;2022-03-15 00:00:00.000;160000;0-1 Miles;Geelong
11080;Damien;Chander;Damien Chander;2020-04-10 00:00:00.000;170000;0-1 Miles;Perth
11081;Savannah;Baker;Savannah Baker;2022-02-12 00:00:00.000;120000;2-5 Miles;Concord
11082;Angela;Butler;Angela Butler;2022-01-22 00:00:00.000;130000;1-2 Miles;Fremont
11083;Alyssa;Cox;Alyssa Cox;2022-01-06 00:00:00.000;130000;1-2 Miles;Lincoln Acres
11084;Lucas;Phillips;Lucas Phillips;2022-01-04 00:00:00.000;80000;1-2 Miles;Lebanon
11085;Emily;Johnson;Emily Johnson;2022-12-06 00:00:00.000;60000;5-10 Miles;Newport Beach
11086;Ryan;Brown;Ryan Brown;2022-07-02 00:00:00.000;70000;0-1 Miles;Santa Monica
11087;Tamara;Liang;Tamara Liang;2022-02-25 00:00:00.000;70000;0-1 Miles;Chula Vista
11088;Hunter;Davis;Hunter Davis;2022-01-13 00:00:00.000;80000;2-5 Miles;San Diego
11089;Abigail;Price;Abigail Price;2021-12-29 00:00:00.000;80000;2-5 Miles;Long Beach
11090;Trevor;Bryant;Trevor Bryant;2020-08-07 00:00:00.000;90000;2-5 Miles;Los Angeles
11091;Dalton;Perez;Dalton Perez;2022-01-29 00:00:00.000;90000;5-10 Miles;Haney
11092;Cheryl;Diaz;Cheryl Diaz;2020-04-08 00:00:00.000;90000;1-2 Miles;East Brisbane
11093;Aimee;He;Aimee He;2020-04-07 00:00:00.000;100000;0-1 Miles;Wollongong
11094;Cedric;Ma;Cedric Ma;2022-04-07 00:00:00.000;70000;0-1 Miles;Cranbourne
11095;Chad;Kumar;Chad Kumar;2020-04-01 00:00:00.000;70000;5-10 Miles;Port Macquarie
11096;Andrés;Anand;Andrés Anand;2020-04-11 00:00:00.000;60000;5-10 Miles;North Sydney
11097;Edwin;Nara;Edwin Nara;2020-04-04 00:00:00.000;60000;5-10 Miles;Warrnambool
11098;Mallory;Rubio;Mallory Rubio;2022-02-11 00:00:00.000;60000;0-1 Miles;Rhodes
11099;Adam;Ross;Adam Ross;2020-04-07 00:00:00.000;60000;0-1 Miles;Port Macquarie
11100;Latasha;Navarro;Latasha Navarro;2020-04-16 00:00:00.000;60000;5-10 Miles;Cloverdale
11101;Abby;Sai;Abby Sai;2020-04-29 00:00:00.000;70000;0-1 Miles;Cranbourne
11102;Julia;Nelson;Julia Nelson;2022-07-16 00:00:00.000;80000;1-2 Miles;Sydney
11103;Cassie;Chande;Cassie Chande;2020-04-15 00:00:00.000;70000;5-10 Miles;Darlinghurst
11104;Edgar;Sara;Edgar Sara;2020-05-04 00:00:00.000;70000;0-1 Miles;Gold Coast
11105;Candace;Fernandez;Candace Fernandez;2020-05-14 00:00:00.000;70000;5-10 Miles;Matraville
11106;Jessie;Liu;Jessie Liu;2020-05-18 00:00:00.000;70000;5-10 Miles;Warrnambool
11107;Bianca;Lin;Bianca Lin;2020-05-01 00:00:00.000;90000;5-10 Miles;St. Leonards
11108;Kari;Alvarez;Kari Alvarez;2020-05-03 00:00:00.000;70000;0-1 Miles;Port Macquarie
11109;Ruben;Kapoor;Ruben Kapoor;2020-05-10 00:00:00.000;70000;0-1 Miles;South Melbourne
11110;Curtis;Yang;Curtis Yang;2020-05-01 00:00:00.000;60000;5-10 Miles;Darlinghurst
11111;Meredith;Gutierrez;Meredith Gutierrez;2020-05-20 00:00:00.000;60000;0-1 Miles;Geelong
11112;Crystal;Wang;Crystal Wang;2020-05-25 00:00:00.000;60000;0-1 Miles;Hervey Bay
11113;Micheal;Blanco;Micheal Blanco;2022-02-01 00:00:00.000;70000;5-10 Miles;Perth
11114;Leslie;Moreno;Leslie Moreno;2022-03-18 00:00:00.000;70000;5-10 Miles;Rhodes
11115;Alvin;Cai;Alvin Cai;2022-02-10 00:00:00.000;70000;0-1 Miles;St. Leonards
11116;Clinton;Carlson;Clinton Carlson;2022-03-15 00:00:00.000;70000;5-10 Miles;Sydney
11117;April;Deng;April Deng;2020-05-06 00:00:00.000;70000;10+ Miles;Matraville
11118;Alvin;Zeng;Alvin Zeng;2022-07-10 00:00:00.000;80000;0-1 Miles;Lavender Bay
11119;Evan;James;Evan James;2022-02-03 00:00:00.000;30000;0-1 Miles;Port Macquarie
11120;Beth;Jiménez;Beth Jiménez;2020-05-14 00:00:00.000;40000;5-10 Miles;Sydney
11121;Orlando;Suarez;Orlando Suarez;2022-06-24 00:00:00.000;70000;10+ Miles;Newcastle
11122;Byron;Vazquez;Byron Vazquez;2022-02-21 00:00:00.000;70000;5-10 Miles;North Sydney
11123;Philip;Alvarez;Philip Alvarez;2022-04-17 00:00:00.000;70000;10+ Miles;Sunbury
11124;Ross;Jordan;Ross Jordan;2020-05-05 00:00:00.000;80000;5-10 Miles;Warrnambool
11125;Dana;Navarro;Dana Navarro;2022-01-31 00:00:00.000;70000;5-10 Miles;Seaford
11126;Shaun;Carson;Shaun Carson;2020-05-28 00:00:00.000;10000;0-1 Miles;North Ryde
11127;Jan;Edwards;Jan Edwards;2022-04-10 00:00:00.000;40000;5-10 Miles;San Gabriel
11128;Samantha;Long;Samantha Long;2022-06-19 00:00:00.000;40000;5-10 Miles;Renton
11129;Julia;Wright;Julia Wright;2020-08-06 00:00:00.000;40000;5-10 Miles;Sedro Woolley
11130;Caroline;Russell;Caroline Russell;2022-12-09 00:00:00.000;30000;5-10 Miles;Lebanon
11131;Amanda;Rivera;Amanda Rivera;2022-10-18 00:00:00.000;30000;0-1 Miles;Haney
11132;Melissa;Richardson;Melissa Richardson;2022-04-09 00:00:00.000;30000;5-10 Miles;Langford
11133;Angela;Griffin;Angela Griffin;2022-12-30 00:00:00.000;30000;0-1 Miles;Lake Oswego
11134;Larry;Townsend;Larry Townsend;2020-05-03 00:00:00.000;10000;5-10 Miles;Perth
11135;Marcus;Harris;Marcus Harris;2022-04-18 00:00:00.000;30000;5-10 Miles;Burlingame
11136;Brianna;Morgan;Brianna Morgan;2022-01-03 00:00:00.000;40000;0-1 Miles;Metchosin
11137;Jasmine;Taylor;Jasmine Taylor;2022-07-31 00:00:00.000;40000;5-10 Miles;Spokane
11138;Lauren;Davis;Lauren Davis;2022-09-19 00:00:00.000;40000;0-1 Miles;Glendale
11139;Tanya;Moreno;Tanya Moreno;2022-09-14 00:00:00.000;30000;5-10 Miles;Cloverdale
11140;Javier;Alvarez;Javier Alvarez;2022-03-19 00:00:00.000;30000;5-10 Miles;Burbank
11141;Nicole;Ramirez;Nicole Ramirez;2022-05-16 00:00:00.000;40000;0-1 Miles;Daly City
11142;Eduardo;Patterson;Eduardo Patterson;2022-02-13 00:00:00.000;40000;0-1 Miles;Langford
11143;Jonathan;Henderson;Jonathan Henderson;2022-06-15 00:00:00.000;40000;5-10 Miles;Lakewood
11144;Edward;Hernandez;Edward Hernandez;2022-01-25 00:00:00.000;40000;0-1 Miles;Ballard
11145;Jasmine;Coleman;Jasmine Coleman;2022-01-25 00:00:00.000;40000;0-1 Miles;Beaverton
11146;Karla;Goel;Karla Goel;2022-02-05 00:00:00.000;40000;5-10 Miles;Matraville
11147;Ernest;Wu;Ernest Wu;2020-05-13 00:00:00.000;60000;0-1 Miles;Warrnambool
11148;Ross;Vazquez;Ross Vazquez;2022-03-07 00:00:00.000;40000;5-10 Miles;East Brisbane
11149;Theodore;Gill;Theodore Gill;2022-06-04 00:00:00.000;40000;0-1 Miles;Hervey Bay
11150;Russell;Shen;Russell Shen;2022-03-27 00:00:00.000;40000;5-10 Miles;Sunbury
11151;Melinda;Gill;Melinda Gill;2020-05-15 00:00:00.000;60000;0-1 Miles;Sydney
11152;James;Williams;James Williams;2022-01-09 00:00:00.000;40000;5-10 Miles;Puyallup
11153;Angela;James;Angela James;2022-03-29 00:00:00.000;40000;5-10 Miles;Renton
11154;Megan;Walker;Megan Walker;2022-01-10 00:00:00.000;40000;5-10 Miles;Woodburn
11155;Hunter;Robinson;Hunter Robinson;2022-01-06 00:00:00.000;40000;1-2 Miles;Burbank
11156;Maria;Roberts;Maria Roberts;2022-01-08 00:00:00.000;40000;1-2 Miles;Lakewood
11157;Hannah;Long;Hannah Long;2022-07-24 00:00:00.000;40000;5-10 Miles;Tacoma
11158;Jason;Wright;Jason Wright;2022-01-19 00:00:00.000;40000;5-10 Miles;San Gabriel
11159;Brianna;Hughes;Brianna Hughes;2022-09-08 00:00:00.000;40000;1-2 Miles;Woodland Hills
11160;Maurice;Tang;Maurice Tang;2022-02-21 00:00:00.000;40000;5-10 Miles;Concord
11161;Emily;Wood;Emily Wood;2022-06-01 00:00:00.000;40000;1-2 Miles;Concord
11162;Chase;Cox;Chase Cox;2022-02-18 00:00:00.000;40000;5-10 Miles;La Jolla
11163;Gabriel;Wang;Gabriel Wang;2022-05-01 00:00:00.000;40000;5-10 Miles;Spring Valley
11164;Devin;Brooks;Devin Brooks;2022-04-27 00:00:00.000;40000;1-2 Miles;Torrance
11165;Jocelyn;Alexander;Jocelyn Alexander;2022-05-25 00:00:00.000;60000;1-2 Miles;Oakland
11166;Ashley;Martinez;Ashley Martinez;2022-10-14 00:00:00.000;70000;0-1 Miles;Olympia
11167;Jasmine;Barnes;Jasmine Barnes;2022-01-07 00:00:00.000;80000;0-1 Miles;Issaquah
11168;David;Rodriguez;David Rodriguez;2022-01-15 00:00:00.000;80000;0-1 Miles;Oakland
11169;Bryce;Richardson;Bryce Richardson;2022-05-26 00:00:00.000;90000;0-1 Miles;Coronado
11170;Carol;Howard;Carol Howard;2022-08-26 00:00:00.000;90000;0-1 Miles;Burien
11171;Jonathan;Hill;Jonathan Hill;2020-08-20 00:00:00.000;100000;1-2 Miles;Woodland Hills
11172;Gabrielle;Adams;Gabrielle Adams;2022-05-03 00:00:00.000;100000;1-2 Miles;Lynnwood
11173;Sarah;Thomas;Sarah Thomas;2022-03-02 00:00:00.000;110000;0-1 Miles;W. Linn
11174;Nicholas;Robinson;Nicholas Robinson;2022-07-13 00:00:00.000;110000;2-5 Miles;Los Angeles
11175;Luis;Wang;Luis Wang;2020-08-28 00:00:00.000;70000;5-10 Miles;Beverly Hills
11176;Mason;Roberts;Mason Roberts;2022-02-02 00:00:00.000;90000;1-2 Miles;Haney
11177;Jose;Flores;Jose Flores;2022-03-29 00:00:00.000;110000;5-10 Miles;San Diego
11178;Nathan;Johnson;Nathan Johnson;2022-02-21 00:00:00.000;100000;1-2 Miles;Lakewood
11179;Molly;Rodriguez;Molly Rodriguez;2022-03-12 00:00:00.000;120000;5-10 Miles;Beverly Hills
11180;April;Anand;April Anand;2022-03-17 00:00:00.000;160000;0-1 Miles;Chula Vista
11181;Devin;Martin;Devin Martin;2022-05-07 00:00:00.000;170000;0-1 Miles;Los Angeles
11182;Stephanie;Torres;Stephanie Torres;2022-08-28 00:00:00.000;70000;10+ Miles;Sedro Woolley
11183;Jasmine;Lee;Jasmine Lee;2022-04-30 00:00:00.000;70000;10+ Miles;Santa Cruz
11184;Meghan;Hernandez;Meghan Hernandez;2022-08-10 00:00:00.000;70000;10+ Miles;Concord
11185;Ashley;Henderson;Ashley Henderson;2022-02-21 00:00:00.000;70000;10+ Miles;Metchosin
11186;Sarah;Price;Sarah Price;2022-10-18 00:00:00.000;70000;10+ Miles;Palo Alto
11187;Jennifer;Cooper;Jennifer Cooper;2022-04-03 00:00:00.000;60000;10+ Miles;Burien
11188;Catherine;Morris;Catherine Morris;2022-11-01 00:00:00.000;60000;1-2 Miles;San Gabriel
11189;Lawrence;Blanco;Lawrence Blanco;2020-08-26 00:00:00.000;60000;10+ Miles;Bellingham
11190;Carson;Bryant;Carson Bryant;2022-08-28 00:00:00.000;70000;10+ Miles;Beverly Hills
11191;Kristi;Perez;Kristi Perez;2020-08-11 00:00:00.000;70000;10+ Miles;Colma
11192;James;Brown;James Brown;2022-06-23 00:00:00.000;60000;2-5 Miles;Seattle
11193;Ian;Gray;Ian Gray;2022-02-25 00:00:00.000;60000;2-5 Miles;Woodburn
11194;Jacqueline;Price;Jacqueline Price;2022-03-13 00:00:00.000;60000;2-5 Miles;Palo Alto
11195;Megan;Henderson;Megan Henderson;2022-04-14 00:00:00.000;60000;10+ Miles;Renton
11196;Alfredo;Romero;Alfredo Romero;2022-03-03 00:00:00.000;60000;10+ Miles;Beaverton
11197;Andrea;Morris;Andrea Morris;2022-05-02 00:00:00.000;70000;1-2 Miles;Seattle
11198;Brooke;Sanders;Brooke Sanders;2022-02-05 00:00:00.000;70000;10+ Miles;Santa Cruz
11199;Jacqueline;Bennett;Jacqueline Bennett;2022-03-18 00:00:00.000;70000;10+ Miles;Burlingame
11200;Jason;Griffin;Jason Griffin;2022-02-07 00:00:00.000;70000;1-2 Miles;Victoria
11201;Amanda;Foster;Amanda Foster;2022-07-01 00:00:00.000;70000;10+ Miles;Santa Monica
11202;Alexia;Price;Alexia Price;2022-09-15 00:00:00.000;80000;1-2 Miles;Lakewood
11203;Luis;Diaz;Luis Diaz;2022-02-20 00:00:00.000;40000;10+ Miles;Port Hammond
11204;Destiny;Rivera;Destiny Rivera;2022-08-09 00:00:00.000;40000;2-5 Miles;Beaverton
11205;Abby;Fernandez;Abby Fernandez;2022-07-27 00:00:00.000;40000;10+ Miles;Burien
11206;Blake;Flores;Blake Flores;2022-05-11 00:00:00.000;60000;10+ Miles;Lynnwood
11207;Danielle;Cox;Danielle Cox;2022-01-31 00:00:00.000;60000;10+ Miles;Renton
11208;Maria;Reed;Maria Reed;2022-03-04 00:00:00.000;60000;10+ Miles;Glendale
11209;Allison;Evans;Allison Evans;2022-03-25 00:00:00.000;60000;10+ Miles;Lincoln Acres
11210;Edward;Wood;Edward Wood;2022-05-06 00:00:00.000;70000;10+ Miles;West Covina
11211;Samantha;Russell;Samantha Russell;2022-02-01 00:00:00.000;40000;2-5 Miles;Haney
11212;Chloe;Campbell;Chloe Campbell;2022-01-30 00:00:00.000;40000;2-5 Miles;Metchosin
11213;Stephanie;Murphy;Stephanie Murphy;2022-03-28 00:00:00.000;60000;10+ Miles;Edmonds
11214;Charles;Miller;Charles Miller;2022-08-14 00:00:00.000;60000;10+ Miles;Milwaukie
11215;Ana;Perry;Ana Perry;2022-02-15 00:00:00.000;40000;10+ Miles;Royal Oak
11216;Jasmine;Torres;Jasmine Torres;2020-08-15 00:00:00.000;60000;10+ Miles;Portland
11217;Natalie;Adams;Natalie Adams;2020-08-10 00:00:00.000;60000;10+ Miles;Portland
11218;Olivia;Brown;Olivia Brown;2022-02-28 00:00:00.000;60000;2-5 Miles;Tacoma
11219;Charles;Cook;Charles Cook;2022-10-29 00:00:00.000;60000;10+ Miles;Woodburn
11220;Erica;Huang;Erica Huang;2022-03-14 00:00:00.000;60000;10+ Miles;Colma
11221;Nathan;Perry;Nathan Perry;2022-04-07 00:00:00.000;70000;1-2 Miles;Lakewood
11222;Alexandra;Rivera;Alexandra Rivera;2022-11-01 00:00:00.000;80000;1-2 Miles;Santa Monica
11223;Hailey;Patterson;Hailey Patterson;2022-01-29 00:00:00.000;70000;2-5 Miles;Langley
11224;Tiffany;Li;Tiffany Li;2020-08-07 00:00:00.000;70000;10+ Miles;Burien
11225;Madison;Lee;Madison Lee;2022-06-22 00:00:00.000;60000;10+ Miles;Renton
11226;Sydney;Ross;Sydney Ross;2022-02-21 00:00:00.000;60000;2-5 Miles;W. Linn
11227;Marshall;Chavez;Marshall Chavez;2020-08-03 00:00:00.000;60000;10+ Miles;Colma
11228;Ashley;Jones;Ashley Jones;2022-10-25 00:00:00.000;60000;10+ Miles;El Cajon
11229;Adrian;Stewart;Adrian Stewart;2022-07-27 00:00:00.000;70000;10+ Miles;Redwood City
11230;Amber;Turner;Amber Turner;2022-07-16 00:00:00.000;70000;2-5 Miles;Santa Monica
11231;Dennis;Zhang;Dennis Zhang;2022-02-10 00:00:00.000;60000;10+ Miles;Bremerton
11232;Hailey;Bryant;Hailey Bryant;2022-09-20 00:00:00.000;60000;2-5 Miles;Everett
11233;Todd;Li;Todd Li;2022-02-08 00:00:00.000;70000;10+ Miles;Berkeley
11234;Anna;Griffin;Anna Griffin;2022-02-08 00:00:00.000;70000;10+ Miles;Long Beach
11235;Angel;Stewart;Angel Stewart;2022-07-04 00:00:00.000;70000;10+ Miles;Ballard
11236;Jeremy;Butler;Jeremy Butler;2022-10-03 00:00:00.000;70000;10+ Miles;Bellingham
11237;Clarence;Anand;Clarence Anand;2020-09-05 00:00:00.000;130000;0-1 Miles;Solingen
11238;Mayra;Prasad;Mayra Prasad;2020-01-06 00:00:00.000;130000;0-1 Miles;Birmingham
11239;Latoya;Goel;Latoya Goel;2020-01-19 00:00:00.000;130000;5-10 Miles;London
11240;Anne;Hernandez;Anne Hernandez;2020-02-27 00:00:00.000;160000;5-10 Miles;Watford
11241;Lisa;Cai;Lisa Cai;2021-09-10 00:00:00.000;100000;5-10 Miles;Les Ulis
11242;Larry;Munoz;Larry Munoz;2021-09-19 00:00:00.000;110000;5-10 Miles;Versailles
11243;Robin;Alvarez;Robin Alvarez;2020-02-21 00:00:00.000;150000;0-1 Miles;Esher-Molesey
11244;Alexis;Coleman;Alexis Coleman;2020-02-12 00:00:00.000;170000;0-1 Miles;Runcorn
11245;Ricky;Vazquez;Ricky Vazquez;2020-09-26 00:00:00.000;120000;5-10 Miles;Hamburg
11246;Latasha;Rubio;Latasha Rubio;2020-10-03 00:00:00.000;120000;5-10 Miles;Hamburg
11247;Claudia;Zhou;Claudia Zhou;2020-02-18 00:00:00.000;130000;0-1 Miles;Lancaster
11248;Tristan;Alexander;Tristan Alexander;2022-07-14 00:00:00.000;110000;10+ Miles;Saint-Denis
11249;Cindy;Patel;Cindy Patel;2020-10-09 00:00:00.000;130000;0-1 Miles;Sulzbach Taunus
11250;Shannon;Liu;Shannon Liu;2020-03-17 00:00:00.000;170000;5-10 Miles;Woolston
11251;Xavier;Long;Xavier Long;2022-10-18 00:00:00.000;30000;5-10 Miles;Haney
11252;Nicholas;Thompson;Nicholas Thompson;2020-08-14 00:00:00.000;90000;2-5 Miles;Lemon Grove
11253;José;Hernandez;José Hernandez;2022-03-01 00:00:00.000;60000;1-2 Miles;Victoria
11254;Johnathan;Vance;Johnathan Vance;2022-11-23 00:00:00.000;70000;5-10 Miles;Burien
11255;Colin;Lin;Colin Lin;2022-02-23 00:00:00.000;70000;5-10 Miles;Burien
11256;Katelyn;Hernandez;Katelyn Hernandez;2022-04-15 00:00:00.000;70000;5-10 Miles;Lynnwood
11257;Jacqueline;Powell;Jacqueline Powell;2020-08-24 00:00:00.000;120000;2-5 Miles;Newport Beach
11258;Xavier;Hill;Xavier Hill;2022-05-21 00:00:00.000;120000;2-5 Miles;Palo Alto
11259;Victoria;Stewart;Victoria Stewart;2020-09-04 00:00:00.000;100000;2-5 Miles;Salem
11260;Katelyn;Kelly;Katelyn Kelly;2022-02-05 00:00:00.000;110000;2-5 Miles;Burlingame
11261;Stephanie;Collins;Stephanie Collins;2020-09-27 00:00:00.000;130000;0-1 Miles;San Diego
11262;Jennifer;Simmons;Jennifer Simmons;2022-02-27 00:00:00.000;80000;0-1 Miles;Port Hammond
11263;Trinity;Richardson;Trinity Richardson;2020-08-29 00:00:00.000;90000;2-5 Miles;Burien
11264;Eduardo;Martin;Eduardo Martin;2022-01-02 00:00:00.000;90000;0-1 Miles;Issaquah
